title,artist
You Give Love a Bad Name,Bon Jovi
Livin' on a Prayer,Bon Jovi
Come As You Are,Nirvana
Highway to Hell,AC / DC
Hit Me With Your Best Shot,Pat Benatar
Wonderwall,Oasis
All the Small Things,Blink-182
One Way or Another,Blondie
Iris,Goo Goo Dolls (City of Angels)
Sex on Fire,Kings of Leon
We Will Rock You,Queen
Me and Bobby McGee,Janis Joplin
Bohemian Rhapsody,Queen
Kryptonite,3 Doors Down
Total Eclipse of the Heart,Bonnie Tyler
Sweet Home Alabama,Lynyrd Skynyrd
Sweet Child O' Mine,Guns N' Roses
Gimme Three Steps,Lynyrd Skynyrd
Don't Stop Me Now,Queen
Eye of the Tiger,Survivor
Simple Man,Lynyrd Skynyrd
Lithium,Nirvana
Rebel Yell,Billy Idol
Welcome to the Jungle,Guns N' Roses
Basket Case,Green Day
I'm Gonna Be (500 Miles),The Proclaimers
Angels,Robbie Williams
Friday I'm in Love,The Cure
Zombie,The Cranberries
Californication,Red Hot Chili Peppers
Every Breath You Take,The Police
It's My Life,Bon Jovi
Nothing Else Matters,Metallica
I Don't Want to Miss a Thing,Aerosmith
Rooster,Alice in Chains
The Best,Tina Turner
Breaking the Girl,Red Hot Chili Peppers
Walking on Sunshine,Katrina and the Waves
There Is a Light That Never ...,The Smiths
You Shook Me All Night Long,AC / DC
Don't Stop Believin' (Small T...),Journey
Losing My Religion,R.E.M.
Black Velvet,Alannah Myles
Creep,Radiohead
Beat It,Michael Jackson
Heartbreaker,Pat Benatar
In The End,Linkin Park
Don't Look Back in Anger,Oasis
Smells Like Teen Spirit,Nirvana
Africa,Toto
I'm Still Standing,Elton John
Mr. Brightside,The Killers
With or Without You,U2
Knockin' on Heaven's Door,Guns N' Roses
Mrs. Robinson,The Lemonheads
What's Up?,4 Non Blondes
Under the Bridge,Red Hot Chili Peppers
Footloose,Footloose (1984 film)
Creep (acoustic),Radiohead
Two Princes,Spin Doctors
Jump,Van Halen
Teenage Dirtbag,Wheatus
Hey Jealousy,Gin Blossoms
Champagne Supernova,Oasis
I Love Rock 'n' Roll,Joan Jett
Little Miss Can't Be Wrong,Spin Doctors
Summer of '69,Bryan Adams
Hurts So Good,Footloose (1984 film) (John Mell...)
Don't Speak,No Doubt
Everything About You,Ugly Kid Joe
The Final Countdown,Europe
Thunderstruck,AC / DC
