Song,Artist
You're the One That I Want,Grease (Film)
What Is This Feeling?,Wicked (Musical) Idina Menzel &...
Don't Want Me Around,The Human League
Under Pressure,Queen & David Bowie
Lay Me Down feat. John Legend,Sam Smith
The Boy Is Mine,Brandy & Monica
Summer Wine,Nancy Sinatra & Lee Hazlewood
Anything You Can Do (I Can Do Better),Annie Get Your Gun (Film)
Colgando en tus manos (dueto),Carlos Baute & Marta Sánchez
Summertime,Louis Armstrong & Ella Fitzgerald
For the First Time in Forever...,Frozen (2013 film) Idina Menzel &...
Paradise by the Dashboard Light,Meat Loaf & Ellen Foley
It's All Going to Pot,Merle Haggard
Mockingbird,Toby Keith & Krystal
Another Day,Paul McCartney
Baby, You've Got What It Takes,Michael Bublé & Sharon Jones
Stop Draggin' My Heart Around,Stevie Nicks & Tom Petty
Love Is an Open Door,Frozen (2013 film)
Barbie Girl,Aqua
Empire State of Mind,Jay-Z & Alicia Keys
For the First Time in Forever,Frozen (2013 film) Kristen Bell &...
Fairytale of New York,The Pogues & Kirsty MacColl
Let Duet,The Dewey Cox Story (John C. R...
Let Me Be Your Star,Smash
The Monster,Eminem & Rihanna
Walk This Way (duet),Aerosmith & Run-DMC
The Lady Is a Tramp,Tony Bennett & Lady Gaga
We Don't Talk Anymore,Cliff Richard & The Shadows
Maybe This Time,Glee & Kristin Chenoweth
My Eyes,Dr. Horrible's Sing-Along Blog
I Hate U, I Love U,Gnash & Olivia O'Brien
Bosom Buddies,Mame (musical) (Angela Lansbu...
Don't Go Breakin' My Heart,Elton John & Kiki Dee
Baby It's Cold Outside,Idina Menzel & Michael Bublé
Baby It's Cold Outside,Darius Rucker & Sheryl McBRide
Paradise by the Dashboard...,Meat Loaf & Ellen Foley
Timbuk,Pitbull & Kesha
The Conversation,Pink Martini & Waylon Jen...
Mockingbird,Carly Simon & James Taylor
The Girl Is Mine,Michael Jackson & Paul McCart...
Dancing in the Street,Glee & Heather Morris
You've Got a Friend in Me (du...),Toy Story (Randy Newman & Lyl...
It's Only Love,Bryan Adams & Tina Turner
Saw Red,Sublime & Gwen Stefani
The Lady Loves Me,Elvis Presley
Glory,John Legend & Common
Me and My Shadow,Sammy Davis Jr. & Frank Sinatra
Baby, It's Cold Outside,Seth MacFarlane & Sara Bareilles
It Takes Two,Marvin Gaye & Kim Weston
Hit the Road Jack,Ray Charles & Margie Hendrix
Popular Song,Mika & Ariana Grande
Since U Been Gone,Pitch Perfect
Breezes,Faith & Ashley Monroe
El Perdón,Nicky Jam & Enrique Iglesias
Let's Call the Whole Thing Off,Ella Fitzgerald & Louis Armstrong
Paroles, Paroles,Dalida & Alain Delon
I Won't Dance,Tony Bennett & Lady Gaga
What If I Said,Anita Cochran & Steve Wariner
Just In Time (duet),Tony Bennett & Michael Bublé
Baby, It's Cold Outside,Halley Reinhart & Casey Abrams
The Lady Is a Tramp,Glee
Life's Too Short,The Girl Is Mine 2008
The Girl Is Mine 2008,Michael Jackson & Will.i.am
Up,James Morrison & Jessie J
Don't Get Around Much Anymore,Michael Jackson & Will.i.am
The Thrill Is Gone (with Trac...,B.B. King
Winter Wonderland / Let It...,Bette Midler & Johnny Mathis
Since I Fell for You,Roba McIntyre & Natalie Cole
A Lovely Night,The Rodgers & Hammerstein Cinderella (Film)
Don't Let the Sun Go Down...,Elton John & George Michael
Baby, It's Cold Outside,Lady A
Hold On I'm Comin',Sam Moore & Dave Prater
Boombox,The Lonely Island & Julian Casablancas
The Devil Comes Back to G...,Mark O'Connor
Take Me There,Blackstreet & Mýa
Rewrite This Story,Smash
Breathe,Blu Cantrell & Sean Paul
I Love You (As Much As So...,Céline Dion
Wrong Song,Nashville
Mr. Almost,Meghan Trainor & Shy Carter
Suspicious Minds,Waylon Jennings & Jessi Colter
Pair for Two,Blake Shelton & Mark McGrath
Put a Little Love in Your Hea...,Annie Lennox & Al Green
Anything Goes,Tony Bennett & Lady Gaga
Copenhagen,Chris LeDoux & Toby Keith
(You're) Timeless to Me,Hairspray (2007 film) (John Trav...
Baby, It's Cold Outside,Tom Jones & Cerys
All I Want for Christmas Is Y...,Mariah Carey & Justin Bieber
Home Sweet Home,Justin Moore & Vince Neil
Wild Horses,Alicia Keys & Adam Levine (live)
Mockinbird,Eminem & Nikki Foxx
Nothing's Too Good for My...,Louis Prima & Keely Smith
Je t'aime... moi non plus,Serge Gainsbourg & Jane Birkin
Bonnie and Clyde,Serge Gainsbourg, Brigitte Bar...
Stop for a Minute,Keane & K'naan
Garçon,Koxx
